RAMAS,TITULACION,HOMBRES,MUJERES
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),26,41
CIENCIAS SOCIALES Y JURIDICAS,GRADO CC ACT FISICA Y ED.PRIMA (MELILLA),79,25
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,740,835
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),91,100
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS-DERECHO,273,454
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ANTROPOLOGIA SOCIAL Y CULTURAL,94,174
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,690,218
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS POLITICAS Y DE LA ADMINIST. Y DERECHO,272,297
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,359,290
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN COMUNICACION AUDIOVISUAL,142,189
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CRIMINOLOGIA,105,205
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN DERECHO,1026,1416
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ECONOMIA,615,529
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION INFANTIL,71,1229
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION INFANTIL (CEUTA),16,165
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION INFANTIL (LA INMACULADA),28,275
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION INFANTIL (MELILLA),6,89
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA,951,1295
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA (BILINGIE),65,248
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA (CEUTA),99,138
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA (LA INMACULADA),257,288
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA (MELILLA),65,118
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION SOCIAL,117,491
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION SOCIAL (CEUTA),36,135
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION SOCIAL (MELILLA),31,124
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN FINANZAS Y CONTABILIDAD,296,320
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN GEOGRAFIA Y GESTION DEL TERRITORIO,165,66
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),6,12
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN INFORMACION Y DOCUMENTACION,99,170
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MARKETING E INVESTIGACION DE MERCADOS,250,334
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN PEDAGOGIA,98,457
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,574,782
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),23,36
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN SOCIOLOGIA,245,382
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN TRABAJO SOCIAL,153,634
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN TURISMO,198,474
INGENIERIA Y ARQUITECTURA,GRADO EN ARQUITECTURA,464,413
INGENIERIA Y ARQUITECTURA,GRADO EN EDIFICACION,656,356
