TITULACIONES,PLAZAS OFERTADAS,CUPO GENERAL,MAYORES 25,MAYORES 40 Y 45,TITULADOS,DISCAPACITADOS,DEPORTISTAS
GRADO EN INGENIERIA QUIMICA,120,118,0,0,2,1,0
GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,75,72,0,0,1,0,0
GRADO EN LITERATURAS COMPARADAS,50,44,0,0,1,0,0
GRADO EN LOGOPEDIA,70,69,2,0,1,0,0
GRADO EN MARKETING E INVESTIGACION DE MERCADOS,129,127,3,0,1,0,0
GRADO EN MATEMATICAS,110,107,0,0,1,0,0
GRADO EN MEDICINA,253,221,7,3,3,13,7
GRADO EN NUTRICION HUMANA Y DIETETICA,100,94,2,0,1,1,1
GRADO EN ODONTOLOGIA,85,82,2,1,1,1,0
GRADO EN OPTICA Y OPTOMETRIA,135,132,2,0,1,0,0
GRADO EN PEDAGOGIA,135,136,0,0,1,0,0
GRADO EN PSICOLOGIA,300,284,6,2,3,3,4
GRADO EN QUIMICA,90,89,2,0,1,0,0
GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,365,331,8,2,2,0,0
GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),50,17,0,0,3,0,0
GRADO EN SOCIOLOGIA,160,150,3,0,2,1,0
GRADO EN TERAPIA OCUPACIONAL,60,60,2,2,1,0,0
GRADO EN TRABAJO SOCIAL,180,173,4,2,1,2,0
GRADO EN TRADUCCION E INTERPRETACION (ALEMAN),37,38,0,0,0,0,0
GRADO EN TRADUCCION E INTERPRETACION (ARABE),35,37,1,0,0,0,0
GRADO EN TRADUCCION E INTERPRETACION (FRANCES),80,80,0,0,1,0,0
GRADO EN TRADUCCION E INTERPRETACION (INGLES),120,110,4,1,2,3,0
GRADO EN TURISMO,144,142,1,0,2,0,0
