"TITULACION","RAMA","CENTRO","CAMPUS"
"MASTER UNIVERSITARIO EN ANALISIS Y GESTION DEL TERRITORIO: LIDERAZGO Y PLANIFICACION PARA LA GOBERNANZA TERRITORIAL (MB1.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ASESORI­A LABORAL, FISCAL Y JURI­DICA DE LA EMPRESA (M99.56.3)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN AUDITORI­A (M99.56.2)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN ARTES VISUALES Y EDUCACION. UN ENFOQUE CONSTRUCCIONISTA (M06.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN COOPERACION AL DESARROLLO, GESTION PIºBLICA Y DE LAS ONGDS (M25.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN CRIMINALIDAD E INTERVENCION SOCIAL EN MENORES (M04.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN CULTURA DE PAZ, CONFLICTOS, EDUCACION Y DERECHOS HUMANOS (M75.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN DERECHO CONSTITUCIONAL EUROPEO (M03.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN DERECHO DE LOS NEGOCIOS (M83.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN DERECHO INTERNACIONAL Y RELACIONES INTERNACIONALES (M84.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN DERECHO SANITARIO, BIOETICA Y DERECHO A LA SALUD EN LA UNION EUROPEA (M85.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN DIDACTICA DE LA MATEMATICA (M05.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN DIRECCION Y GESTION PIºBLICA (M87.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN DIVERSIDAD CULTURAL. UN ENFOQUE MULTIDISCIPLINAR Y TRANSFRONTERIZO (MA1.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","MELILLA"
